name,team,kicking_fgm,kicking_fga,kicking_xpmade,fp_projection

Stephen Gostkowski,NE,31.0,35.9,49.9,142.9
Matt Bryant,ATL,29.9,34.1,46.4,136.1
Justin Tucker,BAL,31.8,35.1,34.5,130.0
Mason Crosby,GB,27.8,32.6,45.8,129.3
Dan Bailey,DAL,28.2,32.5,43.3,128.0
Will Lutz,NO,26.9,32.2,46.4,127.1
Graham Gano,CAR,29.4,35.8,38.6,126.7
Adam Vinatieri,IND,27.7,31.4,41.3,124.3
Sebastian Janikowski,OAK,28.0,33.4,40.3,124.2
Dustin Hopkins,WAS,28.3,34.1,38.5,123.5
Blair Walsh,SEA,28.1,33.9,37.5,121.8
Cairo Santos,KC,28.4,33.4,36.2,121.5
Caleb Sturgis,PHI,28.3,33.8,35.5,120.4
Chris Boswell,PIT,27.0,31.6,39.0,120.0
Matt Prater,DET,28.1,32.1,35.8,120.0
Phil Dawson,ARI,25.3,29.7,42.1,118.1
Josh Lambo,LAC,26.7,32.6,37.8,117.8
Brandon McManus,DEN,27.2,32.3,33.5,115.1
Steven Hauschka,BUF,25.9,30.4,36.6,114.3
Kai Forbath,MIN,26.6,30.4,33.9,113.6
Randy Bullock,CIN,25.7,30.6,36.4,113.5
Nick Novak,HOU,27.4,32.5,30.9,113.0
Ryan Succop,TEN,24.1,27.8,39.4,111.8
Jason Myers,JAC,26.2,31.4,33.2,111.8
Nick Folk,TB,24.9,29.3,36.9,111.7
Robbie Gould,SF,23.7,27.4,31.1,102.3
Andrew Franks,MIA,21.7,26.8,35.9,101.0
Connor Barth,CHI,23.0,28.8,31.8,100.9
Mike Nugent,NYG,22.7,28.3,32.5,100.6
Chandler Catanzaro,NYJ,23.5,28.7,28.5,99.0
Greg Zuerlein,LAR,22.6,27.3,28.4,96.3
Cody Parkey,CLE,22.3,27.7,28.2,94.9
Jake Elliott,CIN,19.8,23.5,28.0,87.4
Aldrick Rosas,NYG,18.7,22.3,28.0,84.2
Zane Gonzalez,CLE,17.7,21.3,21.2,74.3
Harrison Butker,CAR,14.4,17.1,19.5,62.7
